"initial_price"
"160.00"
"9.99"
"21.00"
"14.00"
"13.00"
"80.00"
"18.00"
"150.00"
"8.70"
"28.00"
"18.00"
"39.00"
"30.00"
"90.00"
"70.00"
"25.40"
"27.50"
"80.00"
"13.00"
"40.00"
"18.00"
"11.90"
"25.00"
"9.99"
"40.00"
"46.00"
"400.00"
"9.99"
"17.00"
"13.00"
"9.85"
"9.99"
"12.00"
"12.00"
"14.00"
"40.00"
"9.99"
"50.00"
"20.00"
"71.00"
"100.00"
"9.99"
"60.00"
"220.00"
"7.99"
"50.00"
"140.00"
"8.99"
"30.00"
"13.00"
"50.00"
"180.00"
"21.00"
"8.99"
"30.00"
"34.00"
"65.00"
"70.00"
"9.99"
"126.00"
"6.27"
"15.00"
"15.00"
"40.00"
"100.00"
"9.99"
"5.99"
"20.00"
"58.00"
"339.00"
"30.00"
"12.00"
"40.00"
"370.00"
"9.89"
"5.99"
"96.00"
"30.00"
"20.00"
"26.00"
"20.00"
"13.00"
"12.50"
"38.00"
"20.00"
"65.00"
"45.00"
"32.90"
"165.00"
"490.00"
"20.00"
"13.00"
"48.30"
"125.00"
"13.00"
"54.00"
"40.00"
"27.00"
"12.10"
"348.00"
"9.99"
"16.00"
"70.00"
"16.00"
"50.00"
"40.00"
"7.99"
"33.00"
"17.00"
"70.00"
"15.00"
"25.00"
"40.00"
"26.00"
"56.00"
"8.99"
"13.00"
"90.00"
"550.00"
"13.00"
"26.00"
"369.00"
"8.99"
"15.00"
"33.00"
"289.00"
"11.00"
"100.00"
"6.78"
"17.00"
"14.00"
"16.00"
"16.00"
"90.00"
"20.00"
"16.00"
"280.00"
"17.00"
"17.00"
"13.00"
"7.99"
"22.00"
"59.60"
"191.00"
"7.48"
"9.99"
"9.97"
"41.00"
"12.00"
"18.00"
"7.99"
"23.00"
"20.00"
"50.00"
"33.00"
"16.80"
"3.99"
"37.00"
"19.00"
"17.00"
"50.00"
"28.00"
"35.50"
"90.00"
"22.00"
"8.03"
"18.50"
"21.00"
"13.00"
"15.00"
"155.00"
"4.99"
"11.00"
"20.00"
"42.00"
"100.00"
"40.00"
"19.00"
"120.00"
"16.90"
"15.00"
"39.00"
"12.00"
"9.99"
"60.00"
"20.00"
"25.00"
"20.00"
"117.00"
"57.00"
"70.00"
"4.99"
"16.00"
"7.99"
"380.00"
"57.00"
"99.00"
"35.00"
"34.00"
"50.00"
"56.00"
"5.89"
"14.00"
"14.00"
"30.00"
"35.00"
"17.00"
"68.00"
"60.00"
"25.00"
"230.00"
"50.00"
"43.00"
"28.00"
"13.00"
"230.00"
"5.90"
"8.99"
"18.00"
"80.00"
"28.00"
"9.99"
"48.00"
"9.99"
"16.90"
"5.89"
"60.00"
"2.75"
"40.00"
"13.60"
"20.00"
"119.00"
"2.15"
"40.00"
"24.00"
"15.00"
"200.00"
"6.99"
"15.00"
"13.00"
"20.00"
"9.99"
"11.00"
"9.99"
"30.00"
"9.99"
"29.90"
"12.00"
"11.00"
"20.00"
"17.00"
"15.00"
"26.00"
"14.00"
"18.00"
"8.49"
"26.50"
"9.99"
"185.00"
"5.99"
"22.00"
"30.00"
"15.00"
"16.00"
"20.00"
"60.00"
"539.00"
"90.00"
"9.99"
"90.00"
"160.00"
"100.00"
"40.00"
"40.00"
"9.99"
"35.00"
"41.00"
"140.00"
"8.99"
"4.56"
"9.99"
"33.00"
"15.80"
"18.00"
"33.00"
"14.00"
"14.00"
"13.00"
"97.00"
"30.00"
"26.00"
"90.00"
"100.00"
"70.00"
"80.00"
"24.00"
"15.00"
"330.00"
"21.00"
"20.00"
"80.00"
"19.00"
"10.80"
"16.00"
"28.60"
"24.00"
"100.00"
"27.00"
"70.00"
"33.00"
"99.00"
"30.00"
"130.00"
"27.00"
"20.00"
"19.20"
"24.00"
"27.00"
"14.40"
"4.99"
"76.00"
"18.00"
"230.00"
"17.00"
"48.00"
"100.00"
"6.99"
"12.00"
"5.99"
"7.99"
"44.00"
"12.00"
"13.00"
"36.00"
"12.00"
"50.00"
"10.80"
"13.00"
"3.99"
"43.00"
"22.00"
"19.00"
"9.99"
"30.00"
"100.00"
"35.00"
"270.00"
"22.00"
"530.00"
"26.00"
"55.00"
"59.90"
"13.00"
"33.00"
"11.30"
"5.99"
"8.99"
"19.00"
"9.99"
"3.95"
"14.00"
"4.85"
"40.00"
"50.00"
"9.99"
"29.00"
"19.00"
"40.00"
"24.00"
"13.00"
"36.00"
"9.99"
"33.80"
"13.00"
"40.00"
"11.00"
"36.00"
"136.00"
"20.00"
"30.00"
"30.00"
"20.00"
"17.00"
"30.00"
"30.00"
"14.00"
"9.99"
"9.99"
"33.00"
"15.00"
"49.00"
"17.00"
"19.00"
"13.00"
"15.00"
"26.00"
"15.00"
"24.00"
"20.00"
"22.00"
"209.00"
"6.99"
"13.00"
"21.00"
"30.00"
"20.00"
"50.00"
"130.00"
"26.00"
"74.90"
"15.00"
"50.00"
"18.00"
"50.00"
"129.00"
"9.99"
"400.00"
"140.00"
"45.00"
"150.00"
"30.00"
"23.00"
"12.00"
"36.00"
"6.98"
"4.46"
"30.00"
"100.00"
"13.00"
"16.00"
"12.50"
"7.99"
"18.00"
"18.00"
"14.00"
"130.00"
"79.00"
"160.00"
"43.70"
"16.00"
"50.00"
"188.00"
"26.00"
"89.00"
"30.00"
"100.00"
"16.00"
"15.00"
"37.00"
"8.99"
"18.00"
"6.99"
"17.50"
"48.00"
"200.00"
"13.00"
"30.00"
"40.00"
"9.95"
"15.00"
"70.00"
"19.90"
"47.00"
"20.00"
"40.00"
"8.99"
"30.00"
"22.00"
"25.00"
"4.99"
"18.00"
"25.00"
"304.00"
"25.00"
"130.00"
"30.00"
"28.00"
"20.00"
"15.00"
"13.00"
"72.90"
"17.00"
"35.00"
"24.00"
"9.99"
"60.00"
"90.00"
"17.90"
"30.00"
"29.00"
"7.96"
"13.00"
"26.00"
"130.00"
"13.00"
"9.59"
"7.99"
"150.00"
"110.00"
"11.00"
"80.00"
"20.90"
"36.00"
"23.00"
"35.00"
"37.70"
"13.00"
"9.99"
"12.00"
"9.99"
"20.00"
"16.00"
"30.00"
"6.99"
"13.00"
"12.00"
"42.50"
"20.00"
"370.00"
