bought_past_month
10000
5000
2000
1000
7000
5000
400
4000
2000
1000
9000
10000
1000
1000
500
900
10000
500
4000
10000
800
1000
700
100
7000
500
1000
4000
10000
3000
2000
200
800
500
500
3000
3000
300
4000
2000
200
4000
10000
400
100
6000
50
500
200
100
6000
1000
500
1000
300
200
1000
400
500
200
500
1000
1000
900
50
300
50
700
200
2000
1000
400
500
800
8000
1000
300
100
800
500
500
1000
100
6000
100
300
4000
500
100
700
100
500
300
50
2000
1000
100
100
600
4000
300
500
1000
100
200
6000
200
1000
10000
200
50
2000
500
1000
500
300
700
1000
50
100
100
1000
1000
3000
300
100
200
600
800
200
500
700
300
100
400
300
800
1000
3000
1000
500
600
5000
200
2000
50
1000
5000
800
2000
1000
600
1000
400
500
200
1000
10000
600
1000
10000
1000
50
1000
1000
1000
800
900
300
400
200
300
500
1000
100
1000
6000
10000
300
200
400
200
2000
1000
500
4000
200
9000
3000
2000
500
5000
300
2000
700
200
1000
4000
500
1000
10000
10000
1000
200
400
200
500
500
3000
3000
500
2000
7000
7000
200
100
3000
100
900
500
3000
1000
50
300
1000
1000
1000
300
200
7000
700
2000

500
200
6000
100
200
100
4000
300
2000
1000
5000
3000
300
1000
500
1000
3000
200
10000
600
200
700
500
600
100
50
500
5000
400
1000
3000
300
500
900
1000
2000
600
400
600
2000
600
1000
500
300
100
9000
200
300
500
500
100
3000
200
200
500
50
50
1000
1000
50
500
800
10000
400
500
300
500
1000
2000
500
1000
5000
200
4000
10000
1000
200
500
2000
4000
50
2000
200
300
400
1000
1000
1000
50
800
300
300
1000
7000
800
1000
50
300
400
700
1000
100
10000
6000
2000
600
50
200
1000
600
20000
200
200
50
1000
300
2000
800
1000
900
700
300
4000
1000
2000
1000
600
200
2000
1000
100
5000
200
4000
300
200
3000
700
2000
200
4000
2000
10000
100
4000
10000
10000
3000
500
1000
1000
1000
10000
100
300
1000
5000
2000
2000
3000
700
3000
500
10000
1000
500
500
4000
1000
4000
300
50
1000
2000
500
5000
2000
400
300
6000
100
100
3000
100
100
1000
100
10000
50
500
10000
3000
2000
200
1000
1000
50
100
500
1000
500
8000
1000
1000
2000
1000
300
500
500
1000
100
900
10000
700
200
10000
2000
200
400
1000
2000
400
4000
100
3000
1000
5000
1000
300
50
300
1000
1000
2000
9000
1000
600
100
1000
50
1000
3000
500
10000
3000
200
100
1000
3000
50
500
3000
1000
2000
400
2000
500
100
3000
4000
700
1000
1000
800
2000
100
600
1000
500
1000
1000
400
1000
300
1000
1000
400
1000
400
200
300
50
50
1000
2000
50
200
50
1000
300
700
1000
200
1000
100
200
700
50
50
4000
600
1000
400
1000
600
500
300
500
600
1000
1000
500
1000
1000
300
50
2000
800
50
400
9000
500
100
700
1000
2000
500
100
300
2000
50
300
500
700
200
300
900
50
100
200
100
10000
3000
200
300
2000
300
600
10000
1000
1000
50
500
10000
100
700
9000
10000
9000
500
1000
700
50
4000
500
1000
3000
3000
4000
50
1000
1000
4000
1000
300
3000
500
1000
500
800
3000
500
300
500
4000
10000
500
400
700
800
2000
3000
500
500
300
400
5000
500
1000
900
300
3000
200
10000
1000
200
200
2000
700
200
100
3000
1000
2000
300
100
10000
300
1000
10000
500
3000
100
500
10000
400
50
200
1000
900
2000
2000
2000
2000
50
500
500
500
500
500
100
1000
1000
2000
300
100
1000
50
100
1000
1000
6000
100
4000
100
600
200
1000
500
2000
2000
200
1000
10000
500
2000
200
200
500
10000
200
5000
200
500
3000
1000
400
1000
500
4000
500
500
3000
900
6000
200
400
10000
300
500
3000
10000
500
3000
3000
600
2000
500
1000
3000
500
10000
400
2000
200
500
200
2000
2000
3000
100
300
3000
500
4000
50
10000
3000
100
1000
100
200
800
700
500
7000
500
2000
1000
3000
1000
1000
100
200
1000
1000
600
100
5000
1000
10000
50
300
300
300
200
50
1000
1000
10000
50
1000
1000
400
200
500
100
200
100
400
50
300
1000
1000
500
50
1000
500
4000
900
100
300
10000
1000
500
500
200
500
6000
400
100
5000
50
500
100
2000
300
400
2000
2000
300
300
2000
500
1000
400
1000
500
2000
100
300
300
200
2000
4000
100
800
1000
3000
300
500
300
100
2000
2000
50
500
400
800
300
50
500
800
100
300
2000
4000
1000
200
200
1000
700
1000
100
50
200
100
500
10000
100
500
200
5000
200
2000
1000
6000
2000
600
1000
10000
6000
10000
1000
100
200
500
5000
50
200
7000
2000
500
400
500
7000
200
40000
200
1000
400
100
4000
500
700
300
500
2000
200
700
3000
3000
200
10000
1000
1000
8000
200
1000
200
1000
500
500
50
500
10000
2000
800
2000
9000
100
7000
10000
2000
1000
400
1000
2000
700
50
100
400
200
500
2000
400
1000
3000
200
6000
300
100
2000
100
1000
200
9000
10000
500
1000
100
500
10000
500
300
900
100
1000
400
1000
3000
50
2000
200
900
3000
7000
2000
4000
2000
500
6000
10000
200
500
9000
1000
400
400
